30,"Яблоки Гренни Смит, 1 кг",139.99 руб,за 1 кг,https://online.globus.ru/products/yabloki-grenni-smit-1-kg/,Без скидки
31,"Шампиньоны мини Шампиньоново, 300 г",93.99 руб,за 1 шт.,https://online.globus.ru/products/shampinony-mini-shampinonovo-300-g/,Без скидки
32,"Огурцы солёные ФЭГ по-старорусски, 800 г",169.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-solenye-feg-po-starorusski-800-g/,Без скидки
33,"Чеснок, 1 кг",159.99 руб,за 1 кг,https://online.globus.ru/products/chesnok-1-kg/,Без скидки
34,"Имбирь фасованный уп, 200-300 г",479.99 руб,за 1 кг,https://online.globus.ru/products/imbir-1-upakovka-200-300-g/,Без скидки
35,"Лук Крымский красный уп, 400-700 г",186.99 руб,за 1 кг,https://online.globus.ru/products/luk-krymskiy-krasnyy-1-upakovka-300-450-g/,Без скидки
36,"Капуста маринованная ФЭГ Diet, 500 г",89.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-marinovannaya-diet-feg-500-g/,Без скидки
37,"Укроп Зеленый сад, 100 г",53.99 руб,за 1 шт.,https://online.globus.ru/products/ukrop-zelenyy-sad-100-g/,Без скидки
38,"Огурцы солёные ФЭГ, 400 г",126.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-solenye-feg-400-g/,Без скидки
39,"Огурцы солёные Традиции вкуса, 300 г",104.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-solyenye-traditsii-vkusa-300-g/,Без скидки
40,Тыква сортовая 2-10 кг,89.99 руб,за 1 кг,https://online.globus.ru/products/tykva-sortovaya-1-3-kg/,Без скидки
41,Салат латук Трио Агрохолдинг Московский в горшочке,99.99 руб,за 1 шт.,https://online.globus.ru/products/salat-latuk-trio-agrokholding-moskovskiy-v-gorshochke/,Без скидки
42,Кабачок цукини 120-450 г,178.99 руб,за 1 кг,https://online.globus.ru/products/kabachki-tsukini-1-kg/,Без скидки
43,"Имбирь маринованный ФЭГ, 100 г",51.99 руб,за 1 шт.,https://online.globus.ru/products/imbir-marinovannyy-feg-100-g/,Без скидки
44,"Капуста квашеная Традиции вкуса с морковью, 500 г",99.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-traditsii-vkusa-s-morkovyu-500-g/,Без скидки
45,"Тыква резаная уп, 400-600 г",19.99 руб,за 100 г,https://online.globus.ru/products/tykva-rezanaya-1-upakovka-400-600-g/,Без скидки
46,"Салат Айсберг Дмитровские овощи, 180 г",107.99 руб,за 1 шт.,https://online.globus.ru/products/salat-aysberg-dmitrovskie-ovoshchi-180-g/,Без скидки
47,"Капуста квашеная Белоручка с морковью и яблоками, 500 г",114.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-beloruchka-s-morkovyu-i-yablokami-500-g/,Без скидки
,Название,Цена,Граммовка,Ссылка,Скидка
0,"Мята ЛоКарно, 50 г",139.99 руб,за 1 шт.,https://online.globus.ru/products/myata-lokarno-50-g/,Без скидки
1,"Мята перечная Глобус, 50 г",109.99 руб,за 1 шт.,https://online.globus.ru/products/myata-perechnaya-globus-50-g/,Без скидки
2,"Розмарин свежий Глобус, 50 г",159.99 руб,за 1 шт.,https://online.globus.ru/products/rozmarin-svezhiy-globus-50-g/,Без скидки
3,"Щавель Глобус, 100 г",89.99 руб,за 1 шт.,https://online.globus.ru/products/shchavel-globus-100-g/,Без скидки
4,"Трава лимонная Глобус, 100 г",149.99 руб,за 1 шт.,https://online.globus.ru/products/trava-limonnaya-globus-100-g/,Без скидки
5,"Шпинат Глобус, 50 г",99.99 руб,за 1 шт.,https://online.globus.ru/products/shpinat-globus-50-g/,Без скидки
6,"Тархун Глобус, 50 г",179.99 руб,за 1 шт.,https://online.globus.ru/products/tarkhun-globus-50-g/,Без скидки
7,"Лук зелёный (перо) свежий Глобус, 250 г",109.99 руб,за 1 шт.,https://online.globus.ru/products/luk-zelenyy-pero-svezhiy-globus-250-g/,Без скидки
8,"Смесь салатная Глобус с кунжутом, 100 г",79.99 руб,за 1 шт.,https://online.globus.ru/products/smes-salatnaya-globus-s-kunzhutom-100-g/,Без скидки
9,"Салат Айсберг фермерский, 1 шт.",99.99 руб,за 1 шт.,https://online.globus.ru/products/salat-aysberg-fermerskiy-1-sht/,Без скидки
10,"Чеснок PuraVida, 100 г",39.99 руб,за 1 шт.,https://online.globus.ru/products/chesnok-puravida-100-g/,Без скидки
11,"Салатный микс Аликанте Белая Дача Айсберг, радиччо, фриссе, 130 г",183.99 руб,за 1 шт.,https://online.globus.ru/products/salatnyy-miks-alikante-belaya-dacha-130-g/,Без скидки
12,"Перец острый солёный Глобус, 500 г",87.99 руб,за 1 шт.,https://online.globus.ru/products/perets-ostryy-globus-solenyy-500-g/,Без скидки
13,"Шпинат Белая Дача, 65 г",238.99 руб,за 1 шт.,https://online.globus.ru/products/shpinat-belaya-dacha-65-g/,Без скидки
14,"Физалис Artfruit очищенный, 170 г",284.99 руб,за 1 шт.,https://online.globus.ru/products/fizalis-ochishchennyy-artfruit-170-g/,Без скидки
15,"Шампиньоны свежие, 500 г",149.99 руб,за 1 шт.,https://online.globus.ru/products/griby-shampinony-mozhayskiy-shampinon-svezhie-500-g/,Без скидки
16,"Укроп ЛоКарно в пакете, 50 г",43.99 руб,за 1 шт.,https://online.globus.ru/products/ukrop-lokarno-paket-50-g/,Без скидки
17,Салат латук красный листовой Агрохолдинг Московский Премиум в горшочке,103.99 руб,за 1 шт.,https://online.globus.ru/products/salat-latuk-krasnyy-listovoy-agrokholding-moskovskiy-premium-v-gorshochke/,Без скидки
18,"Набор для борща уп, 550-1200 г",15.99 руб,за 100 г,https://online.globus.ru/products/nabor-dlya-borshcha-1-upakovka-700-900-g/,Без скидки
19,"Лук ялтинский фермерский, 1 кг",233.99 руб,за 1 кг,https://online.globus.ru/products/luk-yaltinskiy-fermerskiy-1-kg/,Без скидки
20,"Салат Месклам, 125 г",119.99 руб,за 1 шт.,https://online.globus.ru/products/salat-mesklam-125-g/,Без скидки
